Date,Description,Amount,Type,Merchant_Category,Label,Predicted_Label
2025-03-06,rd Effort happy scene.,5825.95,DEBIT,Investment,Savings,
2024-08-20,shopping Join movement once.,19057.45,Debit,Shopping,Expense,
2024-07-11,zomato Attorney style.,10925.91,Debit,Food Delivery,Expense,
2024-08-21,amazon Recently believe.,6263.9,DEBIT,Shopping,Expense,
2025-03-06,expense claim Serious particular.,46063.28,CREDIT,Reimbursement,Income,
2025-02-15,AUTO TRANSFER TO FD Add community her.,3859.48,DEBIT,Investment,Savings,
2024-10-02,mutual fund redemption Building per.,78554.4,CR,Investment,Income,
2025-05-12,paytm Admit ready.,3293.25,Debit,Wallet/Recharge,Expense,
2025-01-27,rent Win sometimes prove.,2603.48,DEBIT,Rent,Expense,
2024-09-05,reimbursement credit Control onto may.,31762.45,CR,Reimbursement,Income,
2025-04-23,zomato Garden job letter.,9371.31,Debit,Food Delivery,Expense,
2024-09-18,PUBLIC PROVIDENT FUND Let subject reduce.,8248.84,Debit,Insurance,Savings,
2024-09-10,swiggy Financial popular.,17918.72,DR,Food Delivery,Expense,
2024-09-30,nps Per charge case.,6593.06,Debit,Investment,Savings,
2025-04-24,paytm Control race sign.,3916.02,DR,Wallet/Recharge,Expense,
2025-06-12,grocery Box source industry.,3124.05,Debit,Grocery,Expense,
2025-04-25,pension Politics radio.,6353.63,Credit,Pension,Savings,
2025-01-15,salary Budget leader he.,17332.51,CREDIT,Salary,Income,
2025-04-04,SALARY CREDITED Perform on for.,35999.87,CR,Salary,Income,
2025-02-16,rent Whatever matter.,1324.65,DEBIT,Rent,Expense,
2025-04-10,rd Concern stop I.,2395.02,CREDIT,Investment,Savings,
2025-04-29,PUBLIC PROVIDENT FUND Hospital factor.,3845.14,CR,Insurance,Savings,
2025-03-20,AXIS BLUECHIP Improve heart yes.,8734.91,CR,Other,Savings,
2025-06-23,swiggy Build wall glass.,4994.13,Debit,Food Delivery,Expense,
2025-05-02,fuel Term cause face.,16399.93,Debit,Fuel,Expense,
2025-07-02,DEMAT Carry it amount.,8694.51,CR,Other,Savings,
2025-06-11,fuel Two contain hotel.,1808.2,DEBIT,Fuel,Expense,
2025-05-07,bonus Market election.,34316.1,CR,Salary,Income,
2025-04-08,grocery Add room change not.,10827.51,Debit,Grocery,Expense,
2025-05-18,INVESTMENT TRANSFER Wait gas hold.,663.94,Credit,Transfer,Savings,
2025-06-01,food Particular rich.,16014.4,Debit,Food,Expense,
2024-08-25,SALARY DEPOSIT House figure thank.,56563.66,Credit,Salary,Income,
2025-03-13,grocery Ability increase.,1258.44,Debit,Grocery,Expense,
2025-03-11,gift received Build establish six.,26573.95,CREDIT,Gift,Income,
2024-09-29,swiggy Interview most.,2166.68,DR,Food Delivery,Expense,
2024-09-30,amazon Sound who eat part.,4669.06,DEBIT,Shopping,Expense,
