Date,Description,Amount,Type,Label
2024-09-30,pension Ago ask common big.,76946.21,CR,Income
2024-07-28,TERM DEPOSIT Call alone year.,723.4,DR,Savings
2024-08-23,FD MATURITY Visit everyone.,4756.07,DR,Savings
2024-12-21,electricity bill Paper act imagine a.,11012.95,DR,Expense
2025-02-09,pension Free million test.,5915.79,DR,Savings
2024-07-02,salary from Onto safe grow.,66230.49,CR,Income
2025-01-11,amazon Assume price scene.,5593.82,DR,Expense
2024-11-05,fuel Camera course.,15009.48,DR,Expense
2025-03-27,CREDITED BY Side middle play.,75727.74,CR,Income
2024-10-29,gift received Idea protect inside.,21762.04,Credit,Income
2024-09-10,EQUITY INVESTMENT Animal course coach.,5020.09,DR,Savings
2024-12-06,fuel They likely ago.,8488.88,DR,Expense
2025-02-22,RD interest Develop fact after.,23603.74,CR,Income
2025-01-11,BAJAJ ALLIANZ Federal thing leave.,5868.8,DR,Savings
2024-07-22,zomato Move on former same.,4564.16,DR,Expense
2024-12-21,zomato Carry thank trip.,11476.42,DR,Expense
2024-11-22,paytm Really order phone.,16172.57,DR,Expense
2025-01-20,zomato Everything music.,14262.79,DR,Expense
2025-06-04,fuel Environmental push.,5349.78,DR,Expense
2024-07-22,scholarship Feel item kind lose.,27977.28,Credit,Income
2025-03-01,royalty Manage however.,62314.65,Credit,Income
2025-05-09,amazon Her more west city.,16654.96,DR,Expense
2025-01-22,UPI credit Why worry fall near.,72608.12,Credit,Income
2024-09-02,reimbursement credit Listen church stage.,50758.09,Credit,Income
2025-01-03,RTGS credit Than improve.,52712.16,Credit,Income
2025-01-31,award Beat century know.,13266.33,Credit,Income
2025-02-14,NPS Back blue each.,5836.25,DR,Savings
2025-04-28,sale proceeds The necessary next.,67008.94,Credit,Income
2024-12-23,RENT RECEIVED Take simple it.,31035.32,CR,Income
2024-09-24,paytm Mention fund system.,5728.09,DR,Expense
2024-08-19,FD INTEREST CREDIT Free whose six.,1129.09,DR,Savings
2024-10-08,paytm To citizen six.,7650.98,DR,Expense
2024-10-24,grocery Why middle live.,4642.52,DR,Expense
2024-09-29,emi Man stand certainly.,5594.31,DR,Expense
2025-03-21,dividend credit Phone when campaign.,16925.23,CR,Income
2024-12-30,final settlement Would you dinner.,60662.4,Credit,Income
2025-05-13,MIRAE ASSET Series health pick.,6686.56,DR,Savings
2025-01-25,BAJAJ ALLIANZ Listen law.,7928.41,DR,Savings
2025-02-20,fuel Focus five citizen.,13933.35,DR,Expense
2024-07-16,rent Figure quality.,9237.11,DR,Expense
2024-09-05,bonus received Skill night tax.,8522.85,Credit,Income
2025-04-24,SIP DEBIT Role thank above.,4784.98,DR,Savings
2025-02-11,reversal Car end old plant.,16265.46,CR,Income
2025-05-14,elss Education include.,4033.4,DR,Savings
2025-06-29,food World speech race.,15308.42,DR,Expense
2024-09-12,paytm Citizen shoulder.,19772.03,DR,Expense
2024-08-06,fuel Outside more.,984.27,DR,Expense
2025-06-05,NPS Be movie also over.,1693.68,DR,Savings
2024-07-23,DIGITAL GOLD Until opportunity.,3176.22,DR,Savings
2025-02-19,emi Cell season mention.,15399.48,DR,Expense
2024-07-17,BONUS RECEIVED Pretty example.,40121.36,Credit,Income
2024-09-30,icici pru Part resource plan.,5022.73,DR,Savings
2024-11-05,amazon Ball available.,15320.98,DR,Expense
2025-01-06,loan credit Painting film world.,16685.15,CR,Income
2025-05-16,salary transfer Them effort try.,50635.96,Credit,Income
2024-09-16,CREDIT FROM Success thing oil.,54735.72,Credit,Income
2025-01-24,KVP Change green suffer.,6431.28,DR,Savings
2025-03-28,RD CREDIT Look feel too.,1526.28,DR,Savings
2025-06-28,amazon Question democratic.,9606.86,DR,Expense
2024-08-19,swiggy Although describe.,16782.18,DR,Expense
2024-09-04,ZERODHA Want hard unit.,783.64,DR,Savings
2024-08-03,zomato Everything hundred.,12225.42,DR,Expense
2024-10-14,emi American give nice.,13590.34,DR,Expense
2025-01-19,salary from How suddenly.,24287.9,CR,Income
2024-12-03,emi Medical teacher.,19597.57,DR,Expense
2025-04-25,ppf Ability color half.,7917.93,DR,Savings
2024-07-16,electricity bill Against moment.,8821.43,DR,Expense
2025-03-07,FD interest Director data want.,70525.79,Credit,Income
2024-11-02,fuel Office tend here.,17966.31,DR,Expense
2024-10-31,sip Thank eat situation.,3983.12,DR,Savings
2025-06-11,amazon Finally phone admit.,12465.17,DR,Expense
2025-05-10,food Quality cost nation.,8342.55,DR,Expense
2024-11-18,AUTO TRANSFER TO RD System have detail.,939.93,DR,Savings
2024-09-21,RENT RECEIVED Camera again.,75345.54,Credit,Income
2024-09-18,sale proceeds Both fund expect.,73922.89,Credit,Income
2024-12-01,grocery Place indicate.,19932.12,DR,Expense
2025-04-11,rent Them personal.,12113.36,DR,Expense
2025-03-22,FD BOOKING South consumer.,4873.15,DR,Savings
2024-11-06,food Interest stay.,11172.79,DR,Expense
2024-07-26,fuel Senior score.,17271.78,DR,Expense
2024-08-12,KVP Meet treat task and.,1756.24,DR,Savings
2024-07-10,sale credit Happy prevent feel.,55774.63,Credit,Income
2025-04-25,fuel Enough already item.,3922.13,DR,Expense
2024-11-09,shopping Far land develop.,16021.47,DR,Expense
2024-12-06,TRANSFER FROM Prove hundred gas.,10805.0,CR,Income
2025-04-23,grocery Involve question.,15290.49,DR,Expense
2025-05-10,pension In once during can.,9661.1,CR,Income
2024-07-21,grocery Field hospital.,5518.75,DR,Expense
2025-04-18,NIPPON INDIA Moment industry.,6335.42,DR,Savings
2025-04-08,amazon Later crime.,19785.03,DR,Expense
2024-11-06,paytm Voice team.,4001.22,DR,Expense
2025-06-27,REFUND It program certain.,31839.06,CR,Income
2024-08-31,grocery Throw star.,17549.06,DR,Expense
2024-12-25,SALARY CREDITED Total finish really.,12575.43,CR,Income
2025-02-03,tax refund Page future simple.,73853.49,Credit,Income
2025-02-20,fuel Government low.,16655.64,DR,Expense
2024-12-04,fuel Every you yes.,17278.5,DR,Expense
2025-05-30,DIVIDEND RECEIVED Change believe me.,34945.83,CR,Income
2025-06-09,grocery Each number.,6933.42,DR,Expense
2025-03-10,zomato Simply five support.,3910.76,DR,Expense
2025-04-14,BONUS RECEIVED Teach require.,42014.65,Credit,Income
2024-11-03,rent received For effect word.,36573.52,CR,Income
2024-11-24,HDFC LIFE Concern support.,5500.46,DR,Savings
2025-06-02,LIC Perform notice.,4087.15,DR,Savings
2024-10-03,zomato Conference.,4138.88,DR,Expense
2025-01-29,LIFE INSURANCE Eye sign economic.,5910.53,DR,Savings
2024-07-03,electricity bill Hope might sell.,14360.65,DR,Expense
2025-01-29,swiggy Expect present.,11953.2,DR,Expense
2024-08-19,CREDITED BY Agent town threat.,72140.33,CR,Income
2024-08-05,amazon Also article design.,6265.17,DR,Expense
2025-04-11,salary credit Detail candidate.,30926.14,CR,Income
2025-01-30,final settlement Truth character.,36046.44,Credit,Income
2025-01-14,amazon Score upon model.,17383.43,DR,Expense
2024-07-04,electricity bill Simple appear see.,12458.1,DR,Expense
2024-12-20,SGB PURCHASE Race drop fish.,7854.84,DR,Savings
2024-11-04,advance credit Popular.,77835.23,Credit,Income
2024-10-12,scholarship Employee brother we.,12771.74,Credit,Income
2024-07-27,amazon Computer smile.,17204.73,DR,Expense
2024-08-18,amazon Best order result I.,11302.07,DR,Expense
2025-05-09,paytm Magazine answer.,8431.23,DR,Expense
2024-09-10,zomato Bar cut adult.,9071.04,DR,Expense
2025-01-14,reversal Perform candidate.,9525.45,CR,Income
2025-05-22,grocery As not room.,15226.2,DR,Expense
2025-02-07,emi Beautiful her safe.,6782.59,DR,Expense
2024-12-23,credited Knowledge card sure.,68764.83,CR,Income
2024-08-18,incentive Someone same leader.,40823.26,Credit,Income
2024-11-10,AXIS BLUECHIP How girl sometimes.,8230.65,DR,Savings
2024-12-20,shopping All outside more.,12338.04,DR,Expense
2025-04-28,zomato Stage moment.,18877.63,DR,Expense
2025-01-01,FD BOOKING People population.,1905.15,DR,Savings
2025-05-21,GOLD BOND Over long act by.,6545.31,DR,Savings
2024-08-28,fuel Center first writer.,1740.78,DR,Expense
2024-11-30,nps Laugh simple firm.,739.91,DR,Savings
2024-11-19,swiggy Laugh ago run.,8588.75,DR,Expense
2024-10-23,emi Huge north.,9706.18,DR,Expense
2025-06-11,fuel Future face why.,15937.45,DR,Expense
2024-07-22,amazon Art another itself.,19764.03,DR,Expense
2025-01-07,food Only art rather.,10806.42,DR,Expense
2025-02-27,zomato Draw future artist.,2452.3,DR,Expense
2025-05-22,pension Kitchen possible.,69012.45,CR,Income
2024-10-02,FD OPENING Report city last.,7330.95,DR,Savings
2024-09-14,rent Fill interesting.,14897.81,DR,Expense
2025-06-13,salary payment Teacher only just.,29135.49,CR,Income
2024-12-31,zomato Success each.,7360.97,DR,Expense
2025-04-15,food Base teacher.,14801.09,DR,Expense
2025-04-09,refund Film authority.,43658.53,CR,Income
2024-08-24,RENT RECEIVED Tonight yeah truth.,56338.6,CR,Income
2024-09-18,RECURRING PAY Small improve.,2659.58,DR,Savings
2024-07-14,dividend payout Guess short hour.,61456.61,CR,Income
2025-03-15,salary Teacher although.,71684.52,CR,Income
2025-02-06,zomato Smile level.,2855.43,DR,Expense
2024-12-25,amazon Prevent anyone.,13011.28,DR,Expense
2025-05-21,ACH/NEFT from Something maintain.,14169.16,CR,Income
2024-07-21,amazon Over reduce let.,14080.09,DR,Expense
2025-04-17,rent Leg open decide.,4869.19,DR,Expense
2025-05-27,paytm Indicate him hope.,8019.26,DR,Expense
2024-10-15,food Claim ground tell.,8586.58,DR,Expense
2024-08-14,emi Project over room.,3794.48,DR,Expense
2025-04-30,salary credited Around evidence.,5851.79,CR,Income
2024-10-04,rent received Save worry later.,46614.37,CR,Income
2025-03-02,SIP DEBIT Fire respond of.,2065.16,DR,Savings
2024-11-27,shopping Difference much.,19534.24,DR,Expense
2025-02-24,CREDIT FROM Charge cup make.,61010.13,CR,Income
2024-11-07,nps Watch huge center.,8129.87,DR,Savings
2025-01-16,MUTUAL FUND Meeting investment.,8893.68,DR,Savings
2024-10-20,nps Throughout risk.,1668.4,DR,Savings
2025-02-04,credited Deep put safe any.,7355.56,CR,Income
2025-06-28,grocery Once base social.,229.89,DR,Expense
2024-10-17,zomato Institution build.,11587.45,DR,Expense
2024-10-06,cash deposit Watch alone record.,54502.48,Credit,Income
2024-12-05,pension Weight future.,69434.42,Credit,Income
2025-05-22,NATIONAL PENSION SYSTEM Big energy reduce.,7040.8,DR,Savings
2024-10-26,paytm Foot bit until.,12536.3,DR,Expense
2025-06-19,grocery Center baby my her.,17228.84,DR,Expense
2025-02-24,nps Perform trip theory.,8043.66,DR,Savings
2024-11-21,electricity bill Benefit at street.,7127.37,DR,Expense
2024-10-23,RENT RECEIVED Design civil thing.,58100.49,Credit,Income
2024-10-16,paytm Four drug heart set.,7032.16,DR,Expense
2024-11-08,CREDITED Fight PM game.,77002.98,CR,Income
2025-03-27,payment from Read peace white.,40986.56,Credit,Income
2025-06-27,food Arm month fire to.,12418.85,DR,Expense
2025-04-06,paytm Central rich care.,19598.48,DR,Expense
2025-04-25,amazon Type blue most.,4700.11,DR,Expense
2024-07-22,final settlement Culture work they.,41204.81,CR,Income
2025-05-26,zomato Both until society.,15163.94,DR,Expense
2024-09-19,FRANKLIN TEMPLETON Account see travel.,4092.93,DR,Savings
2024-12-24,SALARY CREDITED Project agree least.,59993.4,CR,Income
2024-12-14,electricity bill Hear true seem.,13704.49,DR,Expense
2024-11-14,amazon Yard alone single.,17327.15,DR,Expense
2025-01-20,AUTO TRANSFER TO RD Claim anything.,4482.75,DR,Savings
2025-03-08,electricity bill Begin others whose.,14931.56,DR,Expense
2024-08-28,bonus received Scientist.,7888.99,CR,Income
2024-09-30,reimbursement Bar leg shoulder.,60640.07,Credit,Income
2025-01-14,INVESTMENT FUND Agree down feeling.,5366.69,DR,Savings
2025-04-23,payment from Type head job reach.,70245.66,CR,Income
2025-02-14,award Court serve occur.,27191.72,CR,Income
2025-01-07,FD MATURITY Kind season realize.,625.47,DR,Savings
2025-01-24,electricity bill These him and tough.,8277.4,DR,Expense
2025-03-04,grocery American kitchen.,13208.42,DR,Expense
2025-06-29,cashback Claim beautiful.,42830.8,CR,Income
2024-10-13,SAVINGS DEPOSIT Make instead every.,4075.61,DR,Savings
2025-05-26,AUTO TRANSFER TO RD Middle news party.,2087.02,DR,Savings
2025-03-05,INVESTMENT TRANSFER Watch wear among.,3536.9,DR,Savings
2025-04-03,REFUND Situation per poor.,59433.25,CR,Income
2025-01-29,BAJAJ ALLIANZ Edge fly point.,622.2,DR,Savings
2025-05-07,rent No add politics.,18447.87,DR,Expense
2024-08-12,rent Forget adult order.,7820.76,DR,Expense
2025-04-07,amazon A good building.,9244.53,DR,Expense
2025-03-14,rent Friend camera color.,14055.19,DR,Expense
2025-03-24,paytm Carry sea threat.,16379.34,DR,Expense
2024-10-12,INTEREST CREDIT Certain center seat.,47216.06,Credit,Income
2024-09-03,SALARY DEPOSIT Sport sea full.,37827.55,Credit,Income
2025-03-29,emi Executive glass.,18460.83,DR,Expense
2024-10-18,SAVINGS DEPOSIT Much the half form.,8317.38,DR,Savings
2024-11-07,swiggy Themselves market.,2251.7,DR,Expense
2025-01-07,ppf Mean doctor.,4286.79,DR,Savings
2024-10-21,CREDITED BY Coach fear our fund.,68381.79,Credit,Income
2025-05-30,bonus received Wonder free stay.,79208.76,Credit,Income
2025-02-15,electricity bill Condition future.,13666.07,DR,Expense
2024-11-21,ICICI PRU MF Door sit argue.,4063.98,DR,Savings
2025-04-12,EQUITY Any professor Mrs.,3725.42,DR,Savings
2024-11-19,shopping Chair part nature.,14337.13,DR,Expense
2024-07-28,reimbursement credit Expert pattern miss.,70969.77,Credit,Income
2024-11-28,HDFC LIFE Part them it item.,3099.84,DR,Savings
2024-09-29,SGB PURCHASE Decision side.,515.88,DR,Savings
2025-06-24,ACH/NEFT credit My agency whatever.,65316.06,Credit,Income
2025-01-10,zomato Political economy.,13706.28,DR,Expense
2025-02-25,royalty Movement that data.,9114.66,Credit,Income
2024-10-17,fuel Boy suddenly.,19740.48,DR,Expense
2025-06-30,grocery Leave create born.,14686.41,DR,Expense
2024-11-02,rent Project detail late.,10547.81,DR,Expense
2025-06-17,food Crime listen make.,12012.5,DR,Expense
2024-11-27,amazon Data pretty its bag.,14179.47,DR,Expense
2024-10-25,ANGEL ONE Really into still.,8155.24,DR,Savings
2024-10-31,ACH/NEFT credit Bad knowledge force.,20649.86,CR,Income
2025-05-04,SAVINGS Money serve state.,2535.91,DR,Savings
2024-10-29,ICICI PRU LIFE Today maintain life.,2461.79,DR,Savings
2025-03-26,bonus received Reduce interesting.,69786.79,CR,Income
2025-06-16,PREMIUM PAID Little Democrat.,7644.56,DR,Savings
2025-06-29,SSY ACCOUNT Sometimes play.,3265.66,DR,Savings
2025-04-28,electricity bill Across woman wife.,16018.04,DR,Expense
2024-11-02,paytm Where draw.,4208.82,DR,Expense
2025-02-21,food On defense drug.,9860.5,DR,Expense
2024-07-31,DIVIDEND RECEIVED Inside religious.,64489.64,CR,Income
2024-11-29,CREDITED Real pull decide.,58514.95,Credit,Income
2025-05-23,zomato Lay fast debate.,7295.8,DR,Expense
2025-01-03,emi Certain return.,7698.19,DR,Expense
2024-09-27,rent Claim material good.,17521.95,DR,Expense
2024-09-11,MUTUAL FUND Option memory bit.,7735.22,DR,Savings
2024-09-17,shopping During treat firm.,15800.8,DR,Expense
