Date,Description,Amount,Type,Label
16-05-2025,UPI/paytmqr67n6ms@p/Payment from Ph/YES BANK LIMITE/049754721755/YBLda7f97 17727d42798d6540a746b014b7 ,110.0,DR,Expense
16-05-2025,UPI/gpay-1124412000/Payment from Ph/AXIS BANK/825165381331/YBLa0d9942 ac1f546029731366d0dc62b01/ ,224.0,DR,Expense
15-05-2025,UPI/paytmqr67n6ms@p/Payment from Ph/YES BANK LIMITE/353797592732/AXL7e8c53 8ce92d4f04afdffe28f458aef3 ,70.0,DR,Expense
14-05-2025,UPI/zeptomarketplac/ZEPTOMARK ETPLAC/AIRTEL PAYMENTS/723492829326/YBL16 762453848a464695b9e8942250a1 1c ,493.0,DR,Expense
14-05-2025,UPI/gpay-1120991508/Payment from Ph/AXIS BANK/983220367083/AXL1f3de2c 56cb44160bd755efbec6aac7e/ ,100.0,DR,Expense
14-05-2025,UPI/Q977934693@ybl/Payment from Ph/YES BANK LIMITE/407331888785/YBLeeb618 129bfb4754b413ae1179c6065f/ ,2400.0,DR,Expense
14-05-2025,UPI/paytm.s1gxbrd@p/Payment from Ph/YES BANK PTY/192945709791/AXL5964ab0f1 209419499bfd33c8f9c71a4/ ,100.0,DR,Expense
14-05-2025,UPI/paytm.s1aqtlj@p/Payment from Ph/YES BANK PTY/362604464867/AXL7f34197da a264b8f95e55df6c99f603d/ ,50.0,DR,Expense
14-05-2025,UPI/APOLLOPHARMACYO/Payme nt for 172/AXIS BANK/682004899938/AXLc9b517f 89eb048e998c9349b70499405/ ,612.24,DR,Expense
14-05-2025,UPI/9170643558-3@ib/Payment from Ph/INDIAN BANK/759998281222/AXL27a5ec4 76c53449bb22b4d7560599dbc/ ,6370.0,DR,Expense
13-05-2025,UPI/paytmqr66p4mj@p/Payment from Ph/YES BANK LIMITE/845448962778/AXL49da07 6f00a6455ead309a7d7420af64 ,12.0,DR,Expense
13-05-2025,UPI/9063645796-2@ib/Payment from Ph/Kotak Mahindra /226451895026/AXL409ffee2b8774 163883bc905da641c71 ,100.0,DR,Expense
13-05-2025,UPI/APOLLOPHARMACYO/Payme nt for 172/AXIS BANK/812728894916/AXL631173b 2b78940b28e0bd3bca56a2e81/ ,360.0,DR,Expense
12-05-2025,UPI/8939688080@ybl/UPI Payment//513229456847/ICIcacae 777e092416795f4b0ad9b7994d1/ ,25000.0,DR,Expense
10-05-2025,UPI/paytm-66931760@/Payment from Ph/YES BANK LIMITE/095202012648/AXL98dfe6c a1d754db3b7525924ff5960ca ,167.0,DR,Expense
09-05-2025,UPI/paytm-83568955@/Payment from Ph/YES BANK LIMITE/312227759584/AXL0253a5 3a7c944f78a369863dca606192 ,63.6,DR,Expense
09-05-2025,UPI/paytm-66931760@/Payment from Ph/YES BANK LIMITE/456831443431/YBLd0df0e 43801d411389ae7da7b4aba92a ,212.5,DR,Expense
09-05-2025,UPI/paytm.s15h8gq@p/Payment from Ph/YES BANK PTY/154985452904/YBL1a5e5098 a95749fabbeb8160407034f3/ ,35.0,DR,Expense
09-05-2025,UPI/9542949301@kota/Payment from Ph/Kotak Mahindra /387414335052/AXL27e9b5444b83 45829a5a4f23ae41a5b9 ,85.0,DR,Expense
09-05-2025,UPI/swiggyupi@axb/Pay for Intent/AXIS BANK/504499535070/AXB28c5ac8 16a6b44cebbeef0ccce302212/ ,258.0,DR,Expense
07-05-2025,UPI/paytmqr67n6ms@p/Payment from Ph/YES BANK LIMITE/996167491111/YBLb4ea87 0aa14f4020a21dd0b4254bce63 ,60.0,DR,Expense
07-05-2025,UPI/gpay-1120991508/Payment from Ph/AXIS BANK/484533869196/AXLa3b73c5 a4e954cc995482689104b12fe/ ,100.0,DR,Expense
07-05-2025,UPI/paytmqr5ddunm@p/Payment from Ph/YES BANK LIMITE/492694086980/AXL52d5cd 7f6dc94849b17542104330ae17 ,224.0,DR,Expense
07-05-2025,UPI/Q977934693@ybl/Payment from Ph/YES BANK LIMITE/857086684557/YBL426a11 85bf2e45d590a5b2293f2422f4/ ,1200.0,DR,Expense
07-05-2025,UPI/APOLLOPHARMACYO/Payme nt for 172/AXIS BANK/253527987404/AXL021366c c0e174e89aebfdb8eff2bd225/ ,691.25,DR,Expense
05-05-2025,UPI/paytmqr67n6ms@p/Payment from Ph/YES BANK LIMITE/659492897024/AXLa67985 6de88848c4b5474edf24194610 ,110.0,DR,Expense
05-05-2025,UPI/APOLLOPHARMACYO/Payme nt for 172/YES BANK LIMITE/729298876209/YBLb172b3 8f3fe449ebade4bca1e4ca6ee0 ,360.0,DR,Expense
05-05-2025,UPI/Q075421681@ybl/Payment from Ph/YES BANK LIMITE/094514881949/YBL972e2b 18f3b14a02aa5ca8a86b2019ba/ ,239.0,DR,Expense
05-05-2025,UPI/PEARLYAMAHA@ici/Payment from Ph/ICICI Bank LTD /941926580077/AXL7ce2d8ff02e24 ef692b7a74d640e3660 ,555.0,DR,Expense
05-05-2025,UPI/paytm-76881028@/Payment from Ph/YES BANK LIMITE/230098582056/YBL7907bb 1b5ba145e8af922fa1c965149a ,37.0,DR,Expense
05-05-2025,UPI/9840539644@hdfc/Payment from Ph/HDFC BANK LTD/755220815814/AXL270c8e25 6b7545c38d7b8938e31a9eeb/ ,50000.0,DR,Expense
05-05-2025,UPI/9840539644@hdfc/Payment from Ph/HDFC BANK LTD/361431864325/AXLbf3af22ef6 a4469a8262f2a735730f53/ ,1.0,DR,Expense
05-05-2025,UPI/amazonaws@rapl/AWS India Invoi/Amazon RBL/512531231582/RBA01969f55 94d2435c55c686d05c415d15/ ,2972.47,DR,Expense
05-05-2025,UPI/9247179741@apl/Payment from Ph/ICICI Bank/173481508561/YBLb952e855 d550412eb65bf6e1bc4af8a7/ ,40.0,DR,Expense
